Code,Product,Cost,A,B,C,Price - A,Price - B,Price - C,Replacement Technology Type,Related To,KW YN,Replacement KWh,Replacement KWh - Actual,Supplier,Class of Product,Appearance,Description,Maintenance Cost,Replacement KVA,Replacement KVA - Actual,Installation Type,Time Per Each - Rewire,Time Per Each - Retro,Time Per Each - New,Materials - New,Fitting - Type,Lumen Output,Temperature,Temperature Name,Guarantee Term,Replacement Litres,Time Per Each - Water,Function,Setting Number,Size,Existing 1,Existing 2,Existing 3,Existing 4,Existing 5,Existing 6,Existing 7,Existing 8,Existing 9,Existing 10,Existing 11,Existing 12,Existing 13,Existing 14,Existing 15,Existing 16,Existing 17,Existing 18,Existing 19,Existing 20,Existing 21,Existing 22,Existing 23,Existing 24,Existing 25,Existing 26,Existing 27,Existing 28,Existing 29,Existing 30
FLED10WS,10W LED Flood with sensor,R 246.49,10.00%,20.00%,30.00%,R 415.76,,,Floodlight,Hours Per Year,Yes,0.01,0.01,Aurora,Floodlight,Floodlight,Surfaced,R 0.74,0.102564103,0.102564103,Retro,0,20,50,,Flood,600,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood HPS - 70W,Flood HPS - 150W,Flood MV - 80W,Flood PL - 2 X 18W,Flood PL - 2 X 26W,Flood MBL - 160W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,,,,,,,,,,,,,,,,,,,
FLED20WS,20W LED Flood with sensor,R 399.15,10.00%,20.00%,30.00%,R 647.96,,,Floodlight,Hours Per Year,Yes,0.02,0.02,Aurora,Floodlight,Floodlight,Surfaced,R 1.20,0.205128205,0.205128205,Retro,0,20,50,,Flood,1400,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood HPS - 70W,Flood HPS - 150W,Flood MV - 80W,Flood PL - 2 X 18W,Flood PL - 2 X 26W,Flood MBL - 160W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,Flood MV - 125W,Flood MH - 35W,,,,,,,,,,,,,,,,,
FLED80WS,80W LED Flood with sensor,R 1 258.81,10.00%,20.00%,30.00%,R 1 896.08,,,Floodlight,Hours Per Year,Yes,0.08,0.08,Aurora,Floodlight,Floodlight,Surfaced,R 3.78,0.820512821,0.820512821,Retro,0,20,60,,Flood,4800,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood MH - 400W,Flood HPS - 70W,Flood HPS - 150W,Flood HPS - 250W,Flood HPS - 400W,Flood MV - 125W,Flood MV - 250W,Flood MV - 400W,Flood MBL - 160W,Flood MBL - 250W,Flood MBL - 500W,Flood CFL - 1 X 85W,,,,,,,,,,,,,,,
FLED120WS,120W LED Flood with sensor,R 2 020.63,10.00%,20.00%,30.00%,R 3 077.96,,,Floodlight,Hours Per Year,Yes,0.12,0.12,Aurora,Floodlight,Floodlight,Surfaced,R 6.06,1.230769231,1.230769231,Retro,0,30,60,,Flood,7000,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood MH - 400W,Flood HPS - 70W,Flood HPS - 150W,Flood HPS - 250W,Flood HPS - 400W,Flood MV - 125W,Flood MV - 250W,Flood MV - 400W,Flood MBL - 160W,Flood MBL - 250W,Flood MBL - 500W,Flood CFL - 1 X 85W,Flood HPS - 1000W,Flood MH - 1000W,,,,,,,,,,,,,
FLGGU10C,4W GU10 CW,R 57.24,10.00%,20.00%,30.00%,R 85.86,,,Downlight,Hours Per Year,Yes,0.004,0.004,Aurora,GU10  ,Downlight,Surfaced,R 0.17,,,Retro,10,10,10,,GU10,280,4000,CW,60,,,,,,GU10 - 50W,GU10 - 35W,GU10 - 20W - Hal,GU10 - 9W - CFL,GU10 - 11W - CFL,GU10 - 7W - CFL,MR16 - 20W,MR16 - 35W,MR16 - 50W,MR16 - 75W,GU10 - 4W - LED,GU10 - 5W - LED,GU10 - 6W - LED,GU10 - 7W - LED,GU10 - 8W - LED,GU10 - 9W - LED,MR16 - 4W - LED,MR16 - 5W - LED,MR16 - 6W - LED,MR16 - 7W - LED,MR16 - 8W - LED,MR16 - 9W - LED,GU10 - 13W - CFL,,,,,,,
FLGGU10W,4W GU10 WW,R 57.25,10.00%,20.00%,30.00%,R 89.96,,,Downlight,Hours Per Year,Yes,0.004,0.004,Aurora,GU10  ,Downlight,Surfaced,R 0.17,,,Retro,10,10,10,,GU10,250,3000,WW,60,,,,,,GU10 - 50W,GU10 - 35W,GU10 - 20W - Hal,GU10 - 9W - CFL,GU10 - 11W - CFL,GU10 - 7W - CFL,MR16 - 20W,MR16 - 35W,MR16 - 50W,MR16 - 75W,GU10 - 4W - LED,GU10 - 5W - LED,GU10 - 6W - LED,GU10 - 7W - LED,GU10 - 8W - LED,GU10 - 9W - LED,MR16 - 4W - LED,MR16 - 5W - LED,MR16 - 6W - LED,MR16 - 7W - LED,MR16 - 8W - LED,MR16 - 9W - LED,GU10 - 13W - CFL,,,,,,,
FLC6GU10W,6W GU10 WW,R 92.41,10.00%,20.00%,30.00%,R 120.60,,,Downlight,Hours Per Year,Yes,0.006,0.006,Aurora,GU10  ,Downlight,Recessed,R 0.28,0.051282051,0.051282051,Retro / Rewire ,10,10,10,,GU10,260,3000,WW,36,,,,,,GU10 - 50W,GU10 - 35W,GU10 - 20W - Hal,GU10 - 9W - CFL,GU10 - 11W - CFL,GU10 - 7W - CFL,MR16 - 20W,MR16 - 35W,MR16 - 50W,MR16 - 75W,GU10 - 6W - LED,GU10 - 7W - LED,GU10 - 8W - LED,GU10 - 9W - LED,,MR16 - 6W - LED,MR16 - 7W - LED,MR16 - 8W - LED,MR16 - 9W - LED,GU10 - 13W - CFL,,,,,,,,,,
FLC6GU10C,6W GU10 CW,R 86.75,10.00%,20.00%,30.00%,R 170.10,,,Downlight,Hours Per Year,Yes,0.006,0.006,Aurora,GU10  ,Downlight,Recessed,R 0.26,0.051282051,0.051282051,Retro / Rewire ,10,10,10,,GU10,330,4000,CW,36,,,,,,GU10 - 50W,GU10 - 35W,GU10 - 20W - Hal,GU10 - 9W - CFL,GU10 - 11W - CFL,GU10 - 7W - CFL,MR16 - 20W,MR16 - 35W,MR16 - 50W,MR16 - 75W,GU10 - 6W - LED,GU10 - 7W - LED,GU10 - 8W - LED,GU10 - 9W - LED,,MR16 - 6W - LED,MR16 - 7W - LED,MR16 - 8W - LED,MR16 - 9W - LED,GU10 - 13W - CFL,,,,,,,,,,
FLC6GU10WD,6W GU10 WW Dimmable,R 95.88,10.00%,20.00%,30.00%,R 193.50,,,Downlight,Hours Per Year,Yes,0.006,0.006,Aurora,GU10  ,Downlight,Recessed,R 0.29,0.051282051,0.051282051,Retro / Rewire ,10,10,10,,GU10,260,3000,WW,36,,,,,,GU10 - 50W,GU10 - 35W,GU10 - 20W - Hal,GU10 - 9W - CFL,GU10 - 11W - CFL,GU10 - 7W - CFL,MR16 - 20W,MR16 - 35W,MR16 - 50W,MR16 - 75W,GU10 - 6W - LED,GU10 - 7W - LED,GU10 - 8W - LED,GU10 - 9W - LED,,MR16 - 6W - LED,MR16 - 7W - LED,MR16 - 8W - LED,MR16 - 9W - LED,GU10 - 13W - CFL,,,,,,,,,,
FLAUGU10CD,6W GU10 CW Dimmable ,R 93.27,10.00%,20.00%,30.00%,R 136.76,,,Downlight,Hours Per Year,Yes,0.006,0.006,Aurora,GU10  ,Downlight,Recessed,R 0.28,,,Retro,10,10,10,,GU10,330,4000,CW,36,,,,,,GU10 - 50W,GU10 - 35W,GU10 - 20W - Hal,GU10 - 9W - CFL,GU10 - 11W - CFL,GU10 - 7W - CFL,MR16 - 20W,MR16 - 35W,MR16 - 50W,MR16 - 75W,GU10 - 6W - LED,GU10 - 7W - LED,GU10 - 8W - LED,GU10 - 9W - LED,,MR16 - 6W - LED,MR16 - 7W - LED,MR16 - 8W - LED,MR16 - 9W - LED,GU10 - 13W - CFL,,,,,,,,,,
