Code,Product,Cost,A,B,C,Price - A,Price - B,Price - C,Replacement Technology Type,Related To,KW YN,Replacement KWh,Replacement KWh - Actual,Supplier,Class of Product,Appearance,Description,Maintenance Cost,Replacement KVA,Replacement KVA - Actual,Installation Type,Time Per Each - Rewire,Time Per Each - Retro,Time Per Each - New,Materials - New,Fitting - Type,Lumen Output,Temperature,Temperature Name,Guarantee Term,Replacement Litres,Time Per Each - Water,Function,Setting Number,Size,Existing 1,Existing 2,Existing 3,Existing 4,Existing 5,Existing 6,Existing 7,Existing 8,Existing 9,Existing 10,Existing 11,Existing 12,Existing 13,Existing 14,Existing 15,Existing 16,Existing 17,Existing 18,Existing 19,Existing 20,
FLED50W,LED Floodlight 50W,R 601.52,10.00%,20.00%,30.00%,R 1 013.18,,,Floodlight,Hours Per Year,Yes,0.05,0.05375,Aurora,Floodlight,Floodlight,Surfaced,R 1.80,0.512820513,0.512820513,Retro,0,30,50,,Flood,3400,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood MH - E40 400W,Flood HPS - 70W,Flood HPS - 150W,Flood HPS - E40 250W,Flood HPS - E40 400W,Flood MV - 125W,Flood MV - 250W,Flood MV - 400W,Flood MBL - 160W,Flood MBL - 250W,Flood MBL - 500W,Flood CFL - 1 X 85W,,,,,,
FLED80W ,LED Floodlight 80W,R 1 153.10,10.00%,20.00%,30.00%,R 1 872.00,,,Floodlight,Hours Per Year,Yes,0.08,0.086,Aurora,Floodlight,Floodlight,Surfaced,R 3.46,,,Retro,0,50,100,,Flood,4800,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood MH - E40 400W,Flood HPS - 70W,Flood HPS - 150W,Flood HPS - E40 250W,Flood HPS - E40 400W,Flood MV - 125W,Flood MV - 250W,Flood MV - 400W,Flood MBL - 160W,Flood MBL - 250W,Flood MBL - 500W,Flood CFL - 1 X 85W,,,,,,
FLED120W,LED Floodlight 120W,R 1 935.12,10.00%,20.00%,30.00%,R 3 149.10,,,Floodlight,Hours Per Year,Yes,0.12,0.129,Aurora,Floodlight,Floodlight,Surfaced,R 5.81,,,Retro,0,60,100,,Flood,7000,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood MH - E40 400W,Flood HPS - 70W,Flood HPS - 150W,Flood HPS - E40 250W,Flood HPS - E40 400W,Flood MV - 125W,Flood MV - 250W,Flood MV - 400W,Flood MBL - 160W,Flood MBL - 250W,Flood MBL - 500W,Flood CFL - 1 X 85W,,,,,,
FLED10WS,LED Flood with sensor 10W,R 246.49,10.00%,20.00%,30.00%,R 415.76,,,Floodlight,Hours Per Year,Yes,0.01,0.01075,Aurora,Floodlight,Floodlight,Surfaced,R 0.74,0.102564103,0.102564103,Retro,0,60,50,,Flood,600,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood HPS - 70W,Flood HPS - 150W,Flood MV - E27 80W,Flood PL - 2 X 18W,Flood PL - 2 X 26W,Flood MBL - 160W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,,,,,,,,,,
FLED20WS,LED Flood with sensor 20W,R 399.15,10.00%,20.00%,30.00%,R 647.96,,,Floodlight,Hours Per Year,Yes,0.02,0.0215,Aurora,Floodlight,Floodlight,Surfaced,R 1.20,0.205128205,0.205128205,Retro,0,20,50,,Flood,1400,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood HPS - 70W,Flood HPS - 150W,Flood MV - E27 80W,Flood PL - 2 X 18W,Flood PL - 2 X 26W,Flood MBL - 160W,Flood CFL - 1 X 45W,Flood CFL - 1 X 85W,,,,,,,,,,
FLED80WS,LED Flood with sensor 80W,R 1 258.81,10.00%,20.00%,30.00%,R 1 896.08,,,Floodlight,Hours Per Year,Yes,0.08,0.086,Aurora,Floodlight,Floodlight,Surfaced,R 3.78,0.820512821,0.820512821,Retro,0,20,100,,Flood,4800,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood MH - E40 400W,Flood HPS - 70W,Flood HPS - 150W,Flood HPS - E40 250W,Flood HPS - E40 400W,Flood MV - 125W,Flood MV - 250W,Flood MV - 400W,Flood MBL - 160W,Flood MBL - 250W,Flood MBL - 500W,Flood CFL - 1 X 85W,,,,,,
FLED120WS,LED Flood with sensor 120W,R 2 020.63,10.00%,20.00%,30.00%,R 3 077.96,,,Floodlight,Hours Per Year,Yes,0.12,0.129,Aurora,Floodlight,Floodlight,Surfaced,R 6.06,1.230769231,1.230769231,Retro,0,30,100,,Flood,7000,6000,DL,60,,,,,,Flood MH - 70W,Flood MH - 150W,Flood MH - 250W,Flood MH - E40 400W,Flood HPS - 70W,Flood HPS - 150W,Flood HPS - E40 250W,Flood HPS - E40 400W,Flood MV - 125W,Flood MV - 250W,Flood MV - 400W,Flood MBL - 160W,Flood MBL - 250W,Flood MBL - 500W,Flood CFL - 1 X 85W,,,,,,
FLGGU10C,4W GU10 CW,R 57.24,10.00%,20.00%,30.00%,R 85.86,,,Downlight,Hours Per Year,Yes,0.004,0.0043,Aurora,GU10  ,Downlight,Surfaced,R 0.17,,,Retro,30,10,20,,GU10,280,4000,CW,60,,,,,,Halogen 50W GU10,Halogen 35W GU10,Halogen 20W GU10,GU10 - 9W - CFL,GU10 - 11W - CFL,GU10 - 7W - CFL,,,,,,,,,,,,,,,
FLGGU10W,4W GU10 WW,R 57.25,10.00%,20.00%,30.00%,R 89.96,,,Downlight,Hours Per Year,Yes,0.004,0.0043,Aurora,GU10  ,Downlight,Surfaced,R 0.17,,,Retro,30,10,20,,GU10,250,3000,WW,60,,,,,,Halogen 50W GU10,Halogen 35W GU10,Halogen 20W GU10,GU10 - 9W - CFL,GU10 - 11W - CFL,GU10 - 7W - CFL,,,,,,,,,,,,,,,
FLC6GU10W,6W GU10 WW,R 92.41,10.00%,20.00%,30.00%,R 120.60,,,Downlight,Hours Per Year,Yes,0.006,0.00645,Aurora,GU10  ,Downlight,Recessed,R 0.28,0.051282051,0.051282051,Retro / Rewire ,30,10,20,,GU10,260,3000,WW,36,,,,,,Halogen 50W GU10,Halogen 35W GU10,Halogen 20W GU10,GU10 - 9W - CFL,GU10 - 11W - CFL,GU10 - 7W - CFL,,,,,,,,,,,,,,,
FLC6GU10C,6W GU10 CW,R 86.75,10.00%,20.00%,30.00%,R 170.10,,,Downlight,Hours Per Year,Yes,0.006,0.00645,Aurora,GU10  ,Downlight,Recessed,R 0.26,0.051282051,0.051282051,Retro / Rewire ,30,10,20,,GU10,330,4000,CW,36,,,,,,Halogen 50W GU10,Halogen 35W GU10,Halogen 20W GU10,GU10 - 9W - CFL,GU10 - 11W - CFL,GU10 - 7W - CFL,,,,,,,,,,,,,,,
FLC6GU10WD,6W GU10 WW Dimmable,R 95.88,10.00%,20.00%,30.00%,R 193.50,,,Downlight,Hours Per Year,Yes,0.006,0.00645,Aurora,GU10  ,Downlight,Recessed,R 0.29,0.051282051,0.051282051,Retro / Rewire ,30,10,20,,GU10,260,3000,WW,36,,,,,,Halogen 50W GU10,Halogen 35W GU10,Halogen 20W GU10,GU10 - 9W - CFL,GU10 - 11W - CFL,GU10 - 7W - CFL,,,,,,,,,,,,,,,
FLAUGU10CD,6W GU10 CW Dimmable ,R 93.27,10.00%,20.00%,30.00%,R 136.76,,,Downlight,Hours Per Year,Yes,0.006,0.00645,Aurora,GU10  ,Downlight,Recessed,R 0.28,,,Retro,30,10,20,,GU10,330,4000,CW,36,,,,,,Halogen 50W GU10,Halogen 35W GU10,Halogen 20W GU10,GU10 - 9W - CFL,GU10 - 11W - CFL,GU10 - 7W - CFL,,,,,,,,,,,,,,,
FLAUGU10WD,6W GU10 WW Dimmable ,R 95.02,10.00%,20.00%,30.00%,R 136.76,,,Downlight,Hours Per Year,Yes,0.006,0.00645,Aurora,GU10  ,Downlight,Recessed,R 0.29,,,Retro,30,10,20,,GU10,330,3000,WW,36,,,,,,Halogen 50W GU10,Halogen 35W GU10,Halogen 20W GU10,GU10 - 9W - CFL,GU10 - 11W - CFL,GU10 - 7W - CFL,,,,,,,,,,,,,,,
FLCLC5GU10W,5W Ledchroic GU10 WW,R 150.27,10.00%,20.00%,30.00%,R 236.68,,,Downlight,Hours Per Year,Yes,0.005,0.005375,Aurora,GU10  ,Downlight,Recessed,R 0.45,0.051282051,0.051282051,Retro / Rewire ,30,10,20,,GU10,270,3000,WW,36,,,,,,Halogen 50W GU10,Halogen 35W GU10,Halogen 20W GU10,GU10 - 9W - CFL,GU10 - 11W - CFL,GU10 - 7W - CFL,,,,,,,,,,,,,,,
FLCLC7GU10W,7W Ledchroic GU10 WW,R 170.82,10.00%,20.00%,30.00%,R 269.06,,,Downlight,Hours Per Year,Yes,0.005,0.005375,Aurora,GU10  ,Downlight,Recessed,R 0.51,0.051282051,0.051282051,Retro / Rewire ,30,10,20,,GU10,410,3000,WW,36,,,,,,Halogen 50W GU10,Halogen 35W GU10,Halogen 20W GU10,GU10 - 9W - CFL,GU10 - 11W - CFL,GU10 - 7W - CFL,,,,,,,,,,,,,,,
FLC8GU10C,8.5W GU10 CW,R 127.24,10.00%,20.00%,30.00%,R 215.10,,,Downlight,Hours Per Year,Yes,0.0085,0.0091375,Aurora,GU10  ,Downlight,Recessed,R 0.38,0.087179487,0.087179487,Retro / Rewire ,30,10,20,,GU10,500,4000,CW,36,,,,,,Halogen 50W GU10,Halogen 35W GU10,Halogen 20W GU10,GU10 - 9W - CFL,GU10 - 11W - CFL,GU10 - 7W - CFL,,,,,,,,,,,,,,,
