Code,Product,Cost,Price - A,Replacement Technology Type,Related To,KW YN,Replacement KWh,Replacement KWh - Actual,Supplier,Class of Product,Appearance,Description,Maintenance Cost,Replacement KVA,Replacement KVA - Actual,Installation Type,Time Per Each - Rewire,Time Per Each - Retro,Time Per Each - New,Materials - New,Fitting - Type,Lumen Output,Temperature,Temperature Name,Guarantee Term,Replacement Litres,Time Per Each - Water,Function,Setting Number,Size,Existing 1,Existing 2,Existing 3,Existing 4,Existing 5,Existing 6,Existing 7,Existing 8,Existing 9,Existing 10,Existing 11,Existing 12,Existing 13,Existing 14,Existing 15,Existing 16,Existing 17,Existing 18,Existing 19,Existing 20
FLIQA19B22WD,9W LED GLS WW B22,R 170.00,R 221.00,GLS,Hours Per Year,Yes,0.009,0.009,Azoteq,GU10,Downlight,Recessed,R 0.23,,,Retro,15,40,40,,GLS,620,3000,WW,24,0,,,,,B22 - 60W - Incan,B22 - 75W - Incan,B22 - 100W - Incan,B22 - 14W - CFL,B22 - 15W - CFL,B22 - 18W - CFL,B22 - 20W - CFL,,,,,,,,,,,,,
FSFSH1,Lotus,R 56.50,R 73.45,Showerhead,Number Per Day,Yes,0.319,0.319,ELLIES,SHOWERHEAD,SURFACED,SHOWERHEAD,,,,Retro,15,40,40,,Showerhead,,,,12,10,10,SINGLE,1,1/2 inch,Existing - Wall,,,,,,,,,,,,,,,,,,,
FSFSH23,Storm,R 140.00,R 182.00,Showerhead,Number Per Day,Yes,0.261,0.261,ELLIES,SHOWERHEAD,SURFACED,SHOWERHEAD,,,,Retro,15,40,40,,Showerhead,,,,12,8,8,3 FUNCTION,3,1/2 inch,Existing - Wall,,,,,,,,,,,,,,,,,,,
FSFSH6,Rosebud White,R 99.95,R 129.93,Showerhead,Number Per Day,Yes,0.29,0.29,ELLIES,SHOWERHEAD,SURFACED,SHOWERHEAD,,,,Retro,15,40,40,,Showerhead,,,,12,9,9,3 FUNCTION,3,1/2 inch,Existing - Wall,,,,,,,,,,,,,,,,,,,
FSFSH7,Rosebud Chrome,R 99.00,R 128.70,Showerhead,Number Per Day,Yes,0.29,0.29,ELLIES,SHOWERHEAD,SURFACED,SHOWERHEAD,,,,Retro,15,40,40,,Showerhead,,,,12,9,9,3 FUNCTION,3,1/2 inch,Existing - Wall,,,,,,,,,,,,,,,,,,,
FSFSH8,Mexican Hat,R 21.50,R 27.95,Showerhead,Number Per Day,Yes,0.406,0.406,ELLIES,SHOWERHEAD,SURFACED,SHOWERHEAD,,,,Retro,15,40,40,,Showerhead,,,,12,13,13,SINGLE,1,1/2 inch,Existing - Wall,,,,,,,,,,,,,,,,,,,
FSFSH14,Daffodil,R 156.95,R 204.03,Handshower,Number Per Day,,0.319,0.319,ELLIES,HANDSHOWER,SURFACED,HANDSHOWER,,,,Retro,15,40,40,,Showerhead,,,,12,10,,3 FUNCTION,3,1/2 inch,Existing - Handshower,,,,,,,,,,,,,,,,,,,
FSFSH17,Blossom - 250mm,R 330.00,R 429.00,Showerhead,Number Per Day,,0.319,0.319,ELLIES,SHOWERHEAD,SURFACED,SHOWERHEAD,,,,Retro,15,40,40,,Showerhead,,,,12,10,,SINGLE,1,1/2 inch,Existing - Wall,,,,,,,,,,,,,,,,,,,
FSFSH25,Cherry Blossom,R 179.00,R 232.70,Showerhead,Number Per Day,,0.319,0.319,ELLIES,SHOWERHEAD,SURFACED,SHOWERHEAD,,,,Retro,15,40,40,,Showerhead,,,,12,13,,8 FUNCTION,8,1/2 inch,Existing - Wall,,,,,,,,,,,,,,,,,,,
FLA60RB22W,RES A60 LED 5W WW B22,R 21.02,R 27.32,GLS,Hours Per Year,,0.005,0.005,ELLIES,Residential,Residential,Recessed,,,,Retro,15,40,40,,B22,400,3000,WW,300,0,,,,,B22 - 60W - Incan,B22 - 75W - Incan,B22 - 100W - Incan,B22 - 14W - CFL,B22 - 15W - CFL,B22 - 18W - CFL,B22 - 20W - CFL,,,,,,,,,,,,,
